database_name,database_owner,database_start_time,schema_name,schema_owner,schema_create_time,table_name,table_owner,table_create_time,column_name,column_type,column_length,column_default_value,column_nullable,column_numeric_precision,column_numeric_scale,column_id
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,customer_dimension,dbadmin,2019-04-22 18:54:59.291612-04,annual_income,int,8,,t,,,45035996273707150-14
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,customer_dimension,dbadmin,2019-04-22 18:54:59.291612-04,customer_address,varchar(256),256,,t,,,45035996273707150-7
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,customer_dimension,dbadmin,2019-04-22 18:54:59.291612-04,customer_age,int,8,,t,,,45035996273707150-12
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,customer_dimension,dbadmin,2019-04-22 18:54:59.291612-04,customer_city,varchar(64),64,,t,,,45035996273707150-8
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,customer_dimension,dbadmin,2019-04-22 18:54:59.291612-04,customer_gender,varchar(8),8,,t,,,45035996273707150-4
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,customer_dimension,dbadmin,2019-04-22 18:54:59.291612-04,customer_key,int,8,,f,,,45035996273707150-1
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,customer_dimension,dbadmin,2019-04-22 18:54:59.291612-04,customer_name,varchar(256),256,,t,,,45035996273707150-3
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,customer_dimension,dbadmin,2019-04-22 18:54:59.291612-04,customer_region,varchar(64),64,,t,,,45035996273707150-10
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,customer_dimension,dbadmin,2019-04-22 18:54:59.291612-04,customer_since,date,8,,t,,,45035996273707150-18
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,customer_dimension,dbadmin,2019-04-22 18:54:59.291612-04,customer_state,char(2),2,,t,,,45035996273707150-9
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,customer_dimension,dbadmin,2019-04-22 18:54:59.291612-04,customer_type,varchar(16),16,,t,,,45035996273707150-2
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,customer_dimension,dbadmin,2019-04-22 18:54:59.291612-04,deal_size,int,8,,t,,,45035996273707150-20
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,customer_dimension,dbadmin,2019-04-22 18:54:59.291612-04,deal_stage,varchar(32),32,,t,,,45035996273707150-19
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,customer_dimension,dbadmin,2019-04-22 18:54:59.291612-04,household_id,int,8,,t,,,45035996273707150-6
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,customer_dimension,dbadmin,2019-04-22 18:54:59.291612-04,largest_bill_amount,int,8,,t,,,45035996273707150-16
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,customer_dimension,dbadmin,2019-04-22 18:54:59.291612-04,last_deal_update,date,8,,t,,,45035996273707150-21
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,customer_dimension,dbadmin,2019-04-22 18:54:59.291612-04,marital_status,varchar(32),32,,t,,,45035996273707150-11
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,customer_dimension,dbadmin,2019-04-22 18:54:59.291612-04,number_of_children,int,8,,t,,,45035996273707150-13
