,database_name,database_creator,database_owner,database_desc,database_create_time,database_update_time,database_update_user,table_name,table_creator,table_desc,table_create_time,table_update_time,table_update_user,column_name,column_creator,column_desc,column_create_time,column_update_time,column_update_user,column_format,column_title,column_type,column_length,column_default_value,column_nullable,column_decimal_total_digits,column_decimal_fractional_digits,column_id
39,tpch,DBC,DBC,,2018-07-20 13:24:11,2018-07-27 18:47:19,DBC,part,DBC,,2018-07-27 20:02:50,2018-07-27 20:02:50,DBC,P_CONTAINER,DBC,,2018-07-27 20:02:50,2018-07-27 20:02:50,DBC,X(10),,CF  ,10,,N ,,,1031
40,tpch,DBC,DBC,,2018-07-20 13:24:11,2018-07-27 18:47:19,DBC,part,DBC,,2018-07-27 20:02:50,2018-07-27 20:02:50,DBC,P_MFGR,DBC,,2018-07-27 20:02:50,2018-07-27 20:02:50,DBC,X(25),,CF  ,25,,N ,,,1027
41,tpch,DBC,DBC,,2018-07-20 13:24:11,2018-07-27 18:47:19,DBC,part,DBC,,2018-07-27 20:02:50,2018-07-27 20:02:50,DBC,P_NAME,DBC,,2018-07-27 20:02:50,2018-07-27 20:02:50,DBC,X(55),,CV  ,55,,N ,,,1026
42,tpch,DBC,DBC,,2018-07-20 13:24:11,2018-07-27 18:47:19,DBC,part,DBC,,2018-07-27 20:02:50,2018-07-27 20:02:50,DBC,P_PARTKEY,DBC,,2018-07-27 20:02:50,2018-07-27 20:02:50,DBC,-(10)9,,I   ,4,,N ,,,1025
43,tpch,DBC,DBC,,2018-07-20 13:24:11,2018-07-27 18:47:19,DBC,part,DBC,,2018-07-27 20:02:50,2018-07-27 20:02:50,DBC,P_RETAILPRICE,DBC,,2018-07-27 20:02:50,2018-07-27 20:02:50,DBC,--------------.99,,D   ,8,,N ,15.0,2.0,1032
44,tpch,DBC,DBC,,2018-07-20 13:24:11,2018-07-27 18:47:19,DBC,part,DBC,,2018-07-27 20:02:50,2018-07-27 20:02:50,DBC,P_SIZE,DBC,,2018-07-27 20:02:50,2018-07-27 20:02:50,DBC,-(10)9,,I   ,4,,N ,,,1030
45,tpch,DBC,DBC,,2018-07-20 13:24:11,2018-07-27 18:47:19,DBC,part,DBC,,2018-07-27 20:02:50,2018-07-27 20:02:50,DBC,P_TYPE,DBC,,2018-07-27 20:02:50,2018-07-27 20:02:50,DBC,X(25),,CV  ,25,,N ,,,1029
46,tpch,DBC,DBC,,2018-07-20 13:24:11,2018-07-27 18:47:19,DBC,partsupp,DBC,,2018-07-27 19:52:07,2018-07-27 19:52:07,DBC,PS_AVAILQTY,DBC,,2018-07-27 19:52:07,2018-07-27 19:52:07,DBC,-(10)9,,I   ,4,,N ,,,1027
47,tpch,DBC,DBC,,2018-07-20 13:24:11,2018-07-27 18:47:19,DBC,partsupp,DBC,,2018-07-27 19:52:07,2018-07-27 19:52:07,DBC,PS_COMMENT,DBC,,2018-07-27 19:52:07,2018-07-27 19:52:07,DBC,X(199),,CV  ,199,,N ,,,1029
48,tpch,DBC,DBC,,2018-07-20 13:24:11,2018-07-27 18:47:19,DBC,partsupp,DBC,,2018-07-27 19:52:07,2018-07-27 19:52:07,DBC,PS_PARTKEY,DBC,,2018-07-27 19:52:07,2018-07-27 19:52:07,DBC,-(10)9,,I   ,4,,N ,,,1025
49,tpch,DBC,DBC,,2018-07-20 13:24:11,2018-07-27 18:47:19,DBC,partsupp,DBC,,2018-07-27 19:52:07,2018-07-27 19:52:07,DBC,PS_SUPPKEY,DBC,,2018-07-27 19:52:07,2018-07-27 19:52:07,DBC,-(10)9,,I   ,4,,N ,,,1026
50,tpch,DBC,DBC,,2018-07-20 13:24:11,2018-07-27 18:47:19,DBC,partsupp,DBC,,2018-07-27 19:52:07,2018-07-27 19:52:07,DBC,PS_SUPPLYCOST,DBC,,2018-07-27 19:52:07,2018-07-27 19:52:07,DBC,--------------.99,,D   ,8,,N ,15.0,2.0,1028
51,tpch,DBC,DBC,,2018-07-20 13:24:11,2018-07-27 18:47:19,DBC,region,DBC,,2018-07-27 19:55:15,2018-07-27 19:55:15,DBC,R_COMMENT,DBC,,2018-07-27 19:55:15,2018-07-27 19:55:15,DBC,X(152),,CV  ,152,,N ,,,1027
52,tpch,DBC,DBC,,2018-07-20 13:24:11,2018-07-27 18:47:19,DBC,region,DBC,,2018-07-27 19:55:15,2018-07-27 19:55:15,DBC,R_NAME,DBC,,2018-07-27 19:55:15,2018-07-27 19:55:15,DBC,X(25),,CF  ,25,,N ,,,1026
53,tpch,DBC,DBC,,2018-07-20 13:24:11,2018-07-27 18:47:19,DBC,region,DBC,,2018-07-27 19:55:15,2018-07-27 19:55:15,DBC,R_REGIONKEY,DBC,,2018-07-27 19:55:15,2018-07-27 19:55:15,DBC,-(10)9,,I   ,4,,N ,,,1025
54,tpch,DBC,DBC,,2018-07-20 13:24:11,2018-07-27 18:47:19,DBC,supplier,DBC,,2018-07-27 19:58:42,2018-07-27 19:58:42,DBC,S_ACCTBAL,DBC,,2018-07-27 19:58:42,2018-07-27 19:58:42,DBC,--------------.99,,D   ,8,,N ,15.0,2.0,1030
55,tpch,DBC,DBC,,2018-07-20 13:24:11,2018-07-27 18:47:19,DBC,supplier,DBC,,2018-07-27 19:58:42,2018-07-27 19:58:42,DBC,S_ADDRESS,DBC,,2018-07-27 19:58:42,2018-07-27 19:58:42,DBC,X(40),,CV  ,40,,N ,,,1027
56,tpch,DBC,DBC,,2018-07-20 13:24:11,2018-07-27 18:47:19,DBC,supplier,DBC,,2018-07-27 19:58:42,2018-07-27 19:58:42,DBC,S_COMMENT,DBC,,2018-07-27 19:58:42,2018-07-27 19:58:42,DBC,X(101),,CV  ,101,,N ,,,1031
57,tpch,DBC,DBC,,2018-07-20 13:24:11,2018-07-27 18:47:19,DBC,supplier,DBC,,2018-07-27 19:58:42,2018-07-27 19:58:42,DBC,S_NAME,DBC,,2018-07-27 19:58:42,2018-07-27 19:58:42,DBC,X(25),,CF  ,25,,N ,,,1026
58,tpch,DBC,DBC,,2018-07-20 13:24:11,2018-07-27 18:47:19,DBC,supplier,DBC,,2018-07-27 19:58:42,2018-07-27 19:58:42,DBC,S_NATIONKEY,DBC,,2018-07-27 19:58:42,2018-07-27 19:58:42,DBC,-(10)9,,I   ,4,,N ,,,1028
59,tpch,DBC,DBC,,2018-07-20 13:24:11,2018-07-27 18:47:19,DBC,supplier,DBC,,2018-07-27 19:58:42,2018-07-27 19:58:42,DBC,S_PHONE,DBC,,2018-07-27 19:58:42,2018-07-27 19:58:42,DBC,X(15),,CF  ,15,,N ,,,1029
60,tpch,DBC,DBC,,2018-07-20 13:24:11,2018-07-27 18:47:19,DBC,supplier,DBC,,2018-07-27 19:58:42,2018-07-27 19:58:42,DBC,S_SUPPKEY,DBC,,2018-07-27 19:58:42,2018-07-27 19:58:42,DBC,-(10)9,,I   ,4,,N ,,,1025
